Parametros	pH	Conductividad	Turbidez Coliformes
Fuente_1	7.2	405	4	0
Fuente_2	7.1	500	6	2
Fuente_3	7.0	324	2	0
Fuente_4	7.3	406	3	0
Fuente_5	7.4	312	2	0
Fuente_6	7.2	582	5	1
Fuente_7	7.1	360	3	0
Fuente_8	7.0	424	2	0
Fuente_9	7.3	510	4	0
Fuente_10	7.4	397	2	0
Fuente_11	7.2	587	6	1
Fuente_12	7.1	356	3	0
Fuente_13	7.0	403	5	0
Fuente_14	7.3	452	3	0
Fuente_15	7.4	342	2	0
Fuente_16	7.1	524	3	0
Fuente_17	7.2	317	2	0
Fuente_18	7.0	516	4	0
Fuente_19	7.3	415	2	0
Fuente_20	7.4	573	5	1
Fuente_21	7.2	421	3	0
Fuente_22	7.1	333	2	0
Fuente_23	7.0	443	4	0
Fuente_24	7.3	497	5	0
Fuente_25	7.4	386	2	2
